"id","date_releve","compteur","consommation_jour","cout_total","photo"
1,"2026-01-01","2753.00",NULL,NULL,NULL
2,"2026-01-05","2757.00","4.00","9.200",NULL
3,"2026-01-06","2760.00","3.00","6.900",NULL
4,"2026-01-07","2765.00","5.00","11.500",NULL
5,"2026-01-08","2774.00","9.00","20.700",NULL
6,"2026-01-09","2783.00","9.00","20.700",NULL
7,"2026-01-12","2790.00","7.00","16.100",NULL
8,"2026-01-13","2801.00","11.00","25.300",NULL
9,"2026-01-14","2814.00","13.00","29.900",NULL
10,"2026-01-15","2823.00","9.00","20.700",NULL
11,"2026-01-16","2832.00","9.00","20.700",NULL
12,"2026-01-19","2843.00","11.00","25.300",NULL
13,"2026-01-20","2853.00","10.00","23.000",NULL
14,"2026-01-21","2860.00","7.00","16.100",NULL
15,"2026-01-22","2867.00","7.00","16.100",NULL
16,"2026-01-23","2874.00","7.00","16.100",NULL
17,"2026-01-26","2886.00","12.00","27.600",NULL
18,"2026-01-27","2896.00","10.00","23.000",NULL
19,"2026-01-28","2907.00","11.00","25.300",NULL
20,"2026-01-29","2920.00","13.00","29.900",NULL
21,"2026-01-30","2931.00","11.00","25.300",NULL
22,"2026-02-02","2949.00","18.00","41.400",NULL
23,"2026-02-03","2963.00","14.00","32.200",NULL
24,"2026-02-04","2972.00","9.00","20.700",NULL
25,"2026-02-05","2980.00","8.00","18.400",NULL
26,"2026-02-06","2988.00","8.00","18.400",NULL
27,"2026-02-09","2998.00","10.00","23.000",NULL
28,"2026-02-10","3006.00","8.00","18.400",NULL
29,"2026-02-11","3014.00","8.00","18.400",NULL
30,"2026-02-12","3022.00","8.00","18.400",NULL
31,"2024-12-30","99829.00",NULL,NULL,NULL
32,"2024-12-31","99833.00","4.00","9.200",NULL
33,"2025-01-02","99836.00","3.00","6.900",NULL
34,"2025-01-03","99841.00","5.00","11.500",NULL
35,"2025-01-06","99842.00","1.00","2.300",NULL
36,"2025-01-07","99842.00","0.00","0.000",NULL
37,"2025-01-08","99858.00","16.00","36.800",NULL
38,"2025-01-09","99872.00","14.00","32.200",NULL
39,"2025-01-10","99884.00","12.00","27.600",NULL
40,"2025-01-13","99893.00","9.00","20.700",NULL
41,"2025-01-14","99906.00","13.00","29.900",NULL
42,"2025-01-15","99916.00","10.00","23.000",NULL
43,"2025-01-16","99926.00","10.00","23.000",NULL
44,"2025-01-17","99936.00","10.00","23.000",NULL
45,"2025-01-20","99945.00","9.00","20.700",NULL
46,"2025-01-21","99953.00","8.00","18.400",NULL
47,"2025-01-22","99962.00","9.00","20.700",NULL
48,"2025-01-23","99971.00","9.00","20.700",NULL
49,"2025-01-24","99980.00","9.00","20.700",NULL
50,"2025-01-25","99992.00","12.00","27.600",NULL
51,"2025-01-27","99996.00","4.00","9.200",NULL
52,"2025-01-28","100007.00","11.00","25.300",NULL
53,"2025-01-29","100018.00","11.00","25.300",NULL
54,"2025-01-30","100029.00","11.00","25.300",NULL
55,"2025-01-31","100039.00","10.00","23.000",NULL
56,"2025-02-03","100055.00","16.00","36.800",NULL
57,"2025-02-04","100065.00","10.00","23.000",NULL
