"id","date_releve","phase1","phase2","phase3","consommation_jour","cout_total","photo_phase1","photo_phase2","photo_phase3"
4,"2025-01-02","1431623.00","1393360.00","1408122.00",NULL,NULL,NULL,NULL,NULL
5,"2025-01-03","1432919.00","1394556.00","1409276.00","0","0.000",NULL,NULL,NULL
6,"2025-01-06","1436042.00","1397401.00","1412160.00","8852.00","2575.93200",NULL,NULL,NULL
7,"2025-01-07","1437927.00","1399194.00","1413985.00","5503.00","1601.37300",NULL,NULL,NULL
8,"2025-01-08","1440657.00","1401803.00","1416681.00","8035.00","2338.18500",NULL,NULL,NULL
9,"2025-01-09","1443410.00","1404408.00","1419376.00","8053.00","2343.42300",NULL,NULL,NULL
10,"2025-01-10","1445874.00","1406749.00","1421809.00","7238.00","2106.25800",NULL,NULL,NULL
11,"2025-01-13","1450848.00","1411242.00","1426687.00","14345.00","4174.39500",NULL,NULL,NULL
12,"2025-01-14","1453544.00","1413766.00","1429310.00","7843.00","2282.31300",NULL,NULL,NULL
13,"2025-01-15","1456420.00","1416492.00","1432134.00","8426.00","2451.96600",NULL,NULL,NULL
14,"2025-01-16","1459184.00","1419132.00","1434851.00","8121.00","2363.21100",NULL,NULL,NULL
15,"2025-01-17","1461996.00","1421803.00","1437596.00","8228.00","2394.34800",NULL,NULL,NULL
16,"2025-01-20","1467284.00","1426625.00","1442996.00","15510.00","4513.41000",NULL,NULL,NULL
17,"2025-01-21","1470148.00","1429346.00","1445833.00","8422.00","2450.80200",NULL,NULL,NULL
18,"2025-01-22","1473085.00","1432283.00","1448770.00","8811.00","2564.00100",NULL,NULL,NULL
19,"2025-01-23","1475966.00","1435178.00","1451668.00","8674.00","2524.13400",NULL,NULL,NULL
20,"2025-01-24","1475966.00","1438162.00","1454631.00","5947.00","1730.57700",NULL,NULL,NULL
21,"2025-01-27","1484525.00","1442868.00","1460105.00","18739.00","5453.04900",NULL,NULL,NULL
22,"2025-01-28","1487300.00","1445522.00","1462833.00","8157.00","2373.68700",NULL,NULL,NULL
23,"2025-01-29","1490092.00","1448189.00","1465611.00","8237.00","2396.96700",NULL,NULL,NULL
24,"2025-01-30","1492879.00","1450827.00","1468377.00","8191.00","2383.58100",NULL,NULL,NULL
25,"2025-01-31","1495690.00","1453492.00","1471178.00","8277.00","2408.60700",NULL,NULL,NULL
26,"2025-02-03","1501673.00","1459061.00","1477174.00","17548.00","5106.46800",NULL,NULL,NULL
27,"2025-02-04","1504365.00","1461592.00","1479832.00","7881.00","2293.37100",NULL,NULL,NULL
28,"2025-02-05","1507170.00","1464251.00","1482644.00","8276.00","2408.31600",NULL,NULL,NULL
29,"2025-02-06","1510062.00","1466986.00","1485542.00","8525.00","2480.77500",NULL,NULL,NULL
30,"2025-02-07","1512713.00","1469550.00","1488206.00","7879.00","2292.78900",NULL,NULL,NULL
31,"2025-02-10","1518065.00","1474517.00","1493684.00","15797.00","4596.92700",NULL,NULL,NULL
32,"2025-02-11","1520849.00","1477149.00","1496488.00","8220.00","2392.02000",NULL,NULL,NULL
33,"2025-02-12","1523590.00","1479752.00","1499235.00","8091.00","2354.48100",NULL,NULL,NULL
34,"2025-02-13","1526275.00","1482307.00","1501905.00","7910.00","2301.81000",NULL,NULL,NULL
35,"2025-02-14","1529150.00","1485062.00","1504727.00","8452.00","2459.53200",NULL,NULL,NULL
36,"2025-02-17","1535185.00","1490719.00","1510747.00","17712.00","5154.19200",NULL,NULL,NULL
37,"2025-02-18","1538131.00","1493579.00","1513689.00","8748.00","2545.66800",NULL,NULL,NULL
38,"2025-02-19","1540990.00","1496643.00","1516345.00","8579.00","2496.48900",NULL,NULL,NULL
39,"2025-02-20","1543886.00","1499127.00","1519452.00","8487.00","2469.71700",NULL,NULL,NULL
40,"2025-02-21","1546120.00","1502002.00","1522464.00","8121.00","2363.21100",NULL,NULL,NULL
41,"2025-02-24","1553115.00","1507588.00","1528649.00","18766.00","5460.90600",NULL,NULL,NULL
42,"2025-02-25","1556181.00","1510525.00","1531703.00","9057.00","2635.58700",NULL,NULL,NULL
43,"2025-02-26","1559333.00","1513688.00","1534877.00","9489.00","2761.29900",NULL,NULL,NULL
44,"2025-02-27","1562439.00","1516806.00","1537995.00","9342.00","2718.52200",NULL,NULL,NULL
45,"2025-02-28","1564421.00","1518256.00","1539845.00","5282.00","1537.06200",NULL,NULL,NULL
46,"2025-03-03","1570236.00","1523469.00","1545597.00","16780.00","4882.98000",NULL,NULL,NULL
47,"2025-03-04","1572981.00","1526075.00","1548302.00","8056.00","2344.29600",NULL,NULL,NULL
48,"2025-03-05","1575856.00","1528764.00","1551107.00","8369.00","2435.37900",NULL,NULL,NULL
49,"2025-03-06","1578684.00","1531448.00","1553900.00","8305.00","2416.75500",NULL,NULL,NULL
