model,feature_set,feature,importance
Random Forest,reduced,nb_cura_lag1,0.0861
Random Forest,reduced,nb_cura_roll3,0.1324
Random Forest,reduced,duree_cura_lag1,0.0903
Random Forest,reduced,nb_prev_lag1,0.0192
Random Forest,reduced,nb_prev_roll3,0.0343
Random Forest,reduced,mois_depuis_cura,0.2303
Random Forest,reduced,mois_depuis_prev,0.1604
Random Forest,reduced,ratio_cura_3m,0.0639
Random Forest,reduced,mtbf_h_roll3,0.0
Random Forest,reduced,disponibilite_pct_roll3,0.0
Random Forest,reduced,annee,0.0
Random Forest,reduced,mois_num,0.183
Random Forest,original,nb_cura_roll3,0.1014
Random Forest,original,duree_cura_h,0.0686
Random Forest,original,nb_curatif,0.0666
Random Forest,original,nb_cura_lag1,0.0553
Random Forest,original,duree_cura_lag1,0.0545
Random Forest,original,nb_cura_lag2,0.0422
Random Forest,original,nb_cura_lag3,0.0368
Random Forest,original,nb_prev_lag1,0.0099
Random Forest,original,duree_prev_h,0.0133
Random Forest,original,nb_prev_roll3,0.0238
Random Forest,original,nb_preventif,0.0077
Random Forest,original,disponibilite_pct_roll3,0.0
Random Forest,original,mtbf_h_roll3,0.0
Random Forest,original,disponibilite_pct_lag1,0.0
Random Forest,original,mois_num,0.107
Random Forest,original,ratio_cura_3m,0.0535
Random Forest,original,mois_depuis_cura,0.1577
Random Forest,original,mois_depuis_prev,0.1376
Random Forest,original,annee,0.0
Random Forest,original,nb_ot_total,0.0642
Random Forest,importance,mois_depuis_prev,0.1582
Random Forest,importance,mois_depuis_cura,0.1546
Random Forest,importance,mois_num,0.1022
Random Forest,importance,nb_cura_roll3,0.0914
Random Forest,importance,nb_curatif,0.0625
Random Forest,importance,duree_cura_h,0.068
Random Forest,importance,nb_ot_total,0.0688
Random Forest,importance,duree_cura_lag1,0.0546
Random Forest,importance,nb_cura_lag1,0.0565
Random Forest,importance,ratio_cura_3m,0.055
Random Forest,importance,nb_cura_lag2,0.0356
Random Forest,importance,nb_cura_lag3,0.0381
Random Forest,importance,nb_prev_roll3,0.0208
Random Forest,importance,duree_prev_h,0.0139
Random Forest,importance,nb_prev_lag1,0.0116
Random Forest,importance,nb_preventif,0.0081
Random Forest,importance,disponibilite_pct_roll3,0.0
Random Forest,importance,mtbf_h_roll3,0.0
Random Forest,importance,disponibilite_pct_lag1,0.0
Random Forest,importance,annee,0.0
