id,feuille,date,compteur_m3,consommation_jour_m3,created_at
1,EAU-01,2026-01-01,2753.0,1.0,2026-06-01 20:43:48
2,EAU-01,2026-01-05,2757.0,4.0,2026-06-01 20:43:48
3,EAU-01,2026-01-06,2760.0,3.0,2026-06-01 20:43:48
4,EAU-01,2026-01-07,2765.0,5.0,2026-06-01 20:43:48
5,EAU-01,2026-01-08,2774.0,9.0,2026-06-01 20:43:48
6,EAU-01,2026-01-09,2783.0,9.0,2026-06-01 20:43:48
7,EAU-01,2026-01-12,2790.0,7.0,2026-06-01 20:43:48
8,EAU-01,2026-01-13,2801.0,11.0,2026-06-01 20:43:48
9,EAU-01,2026-01-14,2814.0,13.0,2026-06-01 20:43:48
10,EAU-01,2026-01-15,2823.0,9.0,2026-06-01 20:43:48
11,EAU-01,2026-01-16,2832.0,9.0,2026-06-01 20:43:48
12,EAU-01,2026-01-19,2843.0,11.0,2026-06-01 20:43:48
13,EAU-01,2026-01-20,2853.0,10.0,2026-06-01 20:43:48
14,EAU-01,2026-01-21,2860.0,7.0,2026-06-01 20:43:48
15,EAU-01,2026-01-22,2867.0,7.0,2026-06-01 20:43:48
16,EAU-01,2026-01-23,2874.0,7.0,2026-06-01 20:43:48
17,EAU-01,2026-01-26,2886.0,12.0,2026-06-01 20:43:48
18,EAU-01,2026-01-27,2896.0,10.0,2026-06-01 20:43:48
19,EAU-01,2026-01-28,2907.0,11.0,2026-06-01 20:43:48
20,EAU-01,2026-01-29,2920.0,13.0,2026-06-01 20:43:48
21,EAU-01,2026-01-30,2931.0,11.0,2026-06-01 20:43:48
22,EAU-02,2026-02-02,2949.0,18.0,2026-06-01 20:43:48
23,EAU-02,2026-02-03,2963.0,14.0,2026-06-01 20:43:48
24,EAU-02,2026-02-04,2972.0,9.0,2026-06-01 20:43:48
25,EAU-02,2026-02-05,2980.0,8.0,2026-06-01 20:43:48
26,EAU-02,2026-02-06,2988.0,8.0,2026-06-01 20:43:48
27,EAU-02,2026-02-09,2998.0,10.0,2026-06-01 20:43:48
28,EAU-02,2026-02-10,3006.0,8.0,2026-06-01 20:43:48
29,EAU-02,2026-02-11,3014.0,8.0,2026-06-01 20:43:48
30,EAU-02,2026-02-12,3022.0,8.0,2026-06-01 20:43:48
