id,type,date,valeur,created_at
1,EN KW,2025-09-01,6504.0,2026-06-01 20:43:48
2,EN KW,2025-10-01,27011.0,2026-06-01 20:43:48
3,EN KW,2025-11-01,20897.0,2026-06-01 20:43:48
4,EN KW,2025-12-01,16300.0,2026-06-01 20:43:48
5,EN KW,2026-01-01,15.6,2026-06-01 20:43:48
6,EN KW,Somme,70727.6,2026-06-01 20:43:48
7,EN DT,2025-09-01,2042.38,2026-06-01 20:43:48
8,EN DT,2025-10-01,8285.2,2026-06-01 20:43:48
9,EN DT,2025-11-01,6081.09,2026-06-01 20:43:48
10,EN DT,2025-12-01,4733.64,2026-06-01 20:43:48
11,EN DT,2026-01-01,4525.86,2026-06-01 20:43:48
12,EN DT,Somme,25668.170000000002,2026-06-01 20:43:48
