id,date_releve,compteur_m3,consommation_jour_m3,cout_jour_tnd,created_at
1,2026-01-05,2757.0,4.0,9.2,2026-06-01 21:15:31
2,2026-01-06,2760.0,3.0,6.9,2026-06-01 21:15:31
3,2026-01-07,2765.0,5.0,11.5,2026-06-01 21:15:31
4,2026-01-08,2774.0,9.0,20.7,2026-06-01 21:15:31
5,2026-01-09,2783.0,9.0,20.7,2026-06-01 21:15:31
6,2026-01-12,2790.0,7.0,16.1,2026-06-01 21:15:31
7,2026-01-13,2801.0,11.0,25.3,2026-06-01 21:15:31
8,2026-01-14,2814.0,13.0,29.9,2026-06-01 21:15:31
9,2026-01-15,2823.0,9.0,20.7,2026-06-01 21:15:31
10,2026-01-16,2832.0,9.0,20.7,2026-06-01 21:15:31
11,2026-01-19,2843.0,11.0,25.3,2026-06-01 21:15:31
12,2026-01-20,2853.0,10.0,23.0,2026-06-01 21:15:31
13,2026-01-21,2860.0,7.0,16.1,2026-06-01 21:15:31
14,2026-01-22,2867.0,7.0,16.1,2026-06-01 21:15:31
15,2026-01-23,2874.0,7.0,16.1,2026-06-01 21:15:31
16,2026-01-26,2886.0,12.0,27.6,2026-06-01 21:15:31
17,2026-01-27,2896.0,10.0,23.0,2026-06-01 21:15:31
18,2026-01-28,2907.0,11.0,25.3,2026-06-01 21:15:31
19,2026-01-29,2920.0,13.0,29.9,2026-06-01 21:15:31
20,2026-01-30,2931.0,11.0,25.3,2026-06-01 21:15:31
21,2026-02-02,2949.0,18.0,41.4,2026-06-01 21:15:31
22,2026-02-03,2963.0,14.0,32.2,2026-06-01 21:15:31
23,2026-02-04,2972.0,9.0,20.7,2026-06-01 21:15:31
24,2026-02-05,2980.0,8.0,18.4,2026-06-01 21:15:31
25,2026-02-06,2988.0,8.0,18.4,2026-06-01 21:15:31
26,2026-02-09,2998.0,10.0,23.0,2026-06-01 21:15:31
27,2026-02-10,3006.0,8.0,18.4,2026-06-01 21:15:31
28,2026-02-11,3014.0,8.0,18.4,2026-06-01 21:15:31
29,2026-02-12,3022.0,8.0,18.4,2026-06-01 21:15:31
30,2024-12-31,99833.0,4.0,9.2,2026-06-01 21:15:31
31,2025-01-02,99836.0,3.0,6.9,2026-06-01 21:15:31
32,2025-01-03,99841.0,5.0,11.5,2026-06-01 21:15:31
33,2025-01-06,99842.0,1.0,2.3,2026-06-01 21:15:31
34,2025-01-07,99842.0,0.0,0.0,2026-06-01 21:15:31
35,2025-01-08,99858.0,16.0,36.8,2026-06-01 21:15:31
36,2025-01-09,99872.0,14.0,32.2,2026-06-01 21:15:31
37,2025-01-10,99884.0,12.0,27.6,2026-06-01 21:15:31
38,2025-01-13,99893.0,9.0,20.7,2026-06-01 21:15:31
39,2025-01-14,99906.0,13.0,29.9,2026-06-01 21:15:31
40,2025-01-15,99916.0,10.0,23.0,2026-06-01 21:15:31
41,2025-01-16,99926.0,10.0,23.0,2026-06-01 21:15:31
42,2025-01-17,99936.0,10.0,23.0,2026-06-01 21:15:31
43,2025-01-20,99945.0,9.0,20.7,2026-06-01 21:15:31
44,2025-01-21,99953.0,8.0,18.4,2026-06-01 21:15:31
45,2025-01-22,99962.0,9.0,20.7,2026-06-01 21:15:31
46,2025-01-23,99971.0,9.0,20.7,2026-06-01 21:15:31
47,2025-01-24,99980.0,9.0,20.7,2026-06-01 21:15:31
48,2025-01-25,99992.0,12.0,27.6,2026-06-01 21:15:31
49,2025-01-27,99996.0,4.0,9.2,2026-06-01 21:15:31
50,2025-01-28,100007.0,11.0,25.3,2026-06-01 21:15:31
51,2025-01-29,100018.0,11.0,25.3,2026-06-01 21:15:31
52,2025-01-30,100029.0,11.0,25.3,2026-06-01 21:15:31
53,2025-01-31,100039.0,10.0,23.0,2026-06-01 21:15:31
54,2025-02-03,100055.0,16.0,36.8,2026-06-01 21:15:31
55,2025-02-04,100065.0,10.0,23.0,2026-06-01 21:15:31
56,2025-02-05,100075.0,10.0,23.0,2026-06-01 21:15:31
57,2025-02-06,100085.0,10.0,23.0,2026-06-01 21:15:31
58,2025-02-07,100095.0,10.0,23.0,2026-06-01 21:15:31
59,2025-02-10,100111.0,16.0,36.8,2026-06-01 21:15:31
60,2025-02-11,100121.0,10.0,23.0,2026-06-01 21:15:31
61,2025-02-12,100131.0,10.0,23.0,2026-06-01 21:15:31
62,2025-02-13,100140.0,9.0,20.7,2026-06-01 21:15:31
63,2025-02-14,100150.0,10.0,23.0,2026-06-01 21:15:31
64,2025-02-17,100166.0,16.0,36.8,2026-06-01 21:15:31
65,2025-02-18,100176.0,10.0,23.0,2026-06-01 21:15:31
66,2025-02-19,100186.0,10.0,23.0,2026-06-01 21:15:31
67,2025-02-20,100197.0,11.0,25.3,2026-06-01 21:15:31
68,2025-02-21,100207.0,10.0,23.0,2026-06-01 21:15:31
69,2025-02-24,100224.0,17.0,39.1,2026-06-01 21:15:31
70,2025-02-25,100234.0,10.0,23.0,2026-06-01 21:15:31
71,2025-02-26,100244.0,10.0,23.0,2026-06-01 21:15:31
72,2025-02-27,100255.0,11.0,25.3,2026-06-01 21:15:31
73,2025-02-28,100265.0,10.0,23.0,2026-06-01 21:15:31
74,2025-03-03,100280.0,15.0,34.5,2026-06-01 21:15:31
75,2025-03-04,100287.0,7.0,16.1,2026-06-01 21:15:31
76,2025-03-05,100297.0,10.0,23.0,2026-06-01 21:15:31
77,2025-03-06,100306.0,9.0,20.7,2026-06-01 21:15:31
78,2025-03-07,100312.0,6.0,13.8,2026-06-01 21:15:31
79,2025-03-10,100326.0,14.0,32.2,2026-06-01 21:15:31
80,2025-03-11,100334.0,8.0,18.4,2026-06-01 21:15:31
81,2025-03-12,100342.0,8.0,18.4,2026-06-01 21:15:31
82,2025-03-13,100350.0,8.0,18.4,2026-06-01 21:15:31
83,2025-03-14,100358.0,8.0,18.4,2026-06-01 21:15:31
84,2025-03-15,100367.0,9.0,20.7,2026-06-01 21:15:31
85,2025-03-17,100372.0,5.0,11.5,2026-06-01 21:15:31
86,2025-03-18,100380.0,8.0,18.4,2026-06-01 21:15:31
87,2025-03-19,100388.0,8.0,18.4,2026-06-01 21:15:31
88,2025-03-20,100396.0,8.0,18.4,2026-06-01 21:15:31
89,2025-03-21,100407.0,11.0,25.3,2026-06-01 21:15:31
90,2025-03-22,100419.0,12.0,27.6,2026-06-01 21:15:31
91,2025-03-23,100425.0,6.0,13.8,2026-06-01 21:15:31
92,2025-03-24,100427.0,2.0,4.6,2026-06-01 21:15:31
93,2025-03-25,100435.0,8.0,18.4,2026-06-01 21:15:31
94,2025-03-26,100444.0,9.0,20.7,2026-06-01 21:15:31
95,2025-03-27,100453.0,9.0,20.7,2026-06-01 21:15:31
96,2025-04-02,100470.0,17.0,39.1,2026-06-01 21:15:31
97,2025-04-03,100481.0,11.0,25.3,2026-06-01 21:15:31
98,2025-04-04,100489.0,8.0,18.4,2026-06-01 21:15:31
99,2025-04-07,100504.0,15.0,34.5,2026-06-01 21:15:31
100,2025-04-08,100514.0,10.0,23.0,2026-06-01 21:15:31
101,2025-04-09,100524.0,10.0,23.0,2026-06-01 21:15:31
102,2025-04-10,100536.0,12.0,27.6,2026-06-01 21:15:31
103,2025-04-11,100547.0,11.0,25.3,2026-06-01 21:15:31
104,2025-04-14,100565.0,18.0,41.4,2026-06-01 21:15:31
105,2025-04-15,100575.0,10.0,23.0,2026-06-01 21:15:31
106,2025-04-16,100585.0,10.0,23.0,2026-06-01 21:15:31
107,2025-04-17,100598.0,13.0,29.9,2026-06-01 21:15:31
108,2025-04-18,100608.0,10.0,23.0,2026-06-01 21:15:31
109,2025-04-21,100628.0,20.0,46.0,2026-06-01 21:15:31
110,2025-04-22,100638.0,10.0,23.0,2026-06-01 21:15:31
111,2025-04-23,100648.0,10.0,23.0,2026-06-01 21:15:31
112,2025-04-24,100659.0,11.0,25.3,2026-06-01 21:15:31
113,2025-04-25,100669.0,10.0,23.0,2026-06-01 21:15:31
114,2025-04-28,100691.0,22.0,50.6,2026-06-01 21:15:31
115,2025-04-29,100701.0,10.0,23.0,2026-06-01 21:15:31
116,2025-04-30,100714.0,13.0,29.9,2026-06-01 21:15:31
117,2025-05-01,100724.0,10.0,23.0,2026-06-01 21:15:31
118,2025-05-02,100733.0,9.0,20.7,2026-06-01 21:15:31
119,2025-05-05,100758.0,25.0,57.5,2026-06-01 21:15:31
120,2025-05-06,100768.0,10.0,23.0,2026-06-01 21:15:31
121,2025-05-07,100783.0,15.0,34.5,2026-06-01 21:15:31
122,2025-05-08,100796.0,13.0,29.9,2026-06-01 21:15:31
123,2025-05-09,100807.0,11.0,25.3,2026-06-01 21:15:31
124,2025-05-12,100826.0,19.0,43.7,2026-06-01 21:15:31
125,2025-05-13,100836.0,10.0,23.0,2026-06-01 21:15:31
126,2025-05-14,100846.0,10.0,23.0,2026-06-01 21:15:31
127,2025-05-15,100859.0,13.0,29.9,2026-06-01 21:15:31
128,2025-05-16,100869.0,10.0,23.0,2026-06-01 21:15:31
129,2025-05-19,100890.0,21.0,48.3,2026-06-01 21:15:31
130,2025-05-20,100900.0,10.0,23.0,2026-06-01 21:15:31
131,2025-05-21,100912.0,12.0,27.6,2026-06-01 21:15:31
132,2025-05-22,100932.0,20.0,46.0,2026-06-01 21:15:31
133,2025-05-23,100943.0,11.0,25.3,2026-06-01 21:15:31
134,2025-05-26,100975.0,32.0,73.6,2026-06-01 21:15:31
135,2025-05-27,100987.0,12.0,27.6,2026-06-01 21:15:31
136,2025-05-28,100997.0,10.0,23.0,2026-06-01 21:15:31
137,2025-05-29,101007.0,10.0,23.0,2026-06-01 21:15:31
138,2025-05-30,101019.0,12.0,27.6,2026-06-01 21:15:31
139,2025-06-02,101042.0,23.0,52.9,2026-06-01 21:15:31
140,2025-06-03,101052.0,10.0,23.0,2026-06-01 21:15:31
141,2025-06-04,101063.0,11.0,25.3,2026-06-01 21:15:31
142,2025-06-09,101087.0,24.0,55.2,2026-06-01 21:15:31
143,2025-06-10,101098.0,11.0,25.3,2026-06-01 21:15:31
144,2025-06-11,101109.0,11.0,25.3,2026-06-01 21:15:31
145,2025-06-12,101120.0,11.0,25.3,2026-06-01 21:15:31
146,2025-06-13,101131.0,11.0,25.3,2026-06-01 21:15:31
147,2025-06-16,101159.0,28.0,64.4,2026-06-01 21:15:31
148,2025-06-17,101169.0,10.0,23.0,2026-06-01 21:15:31
149,2025-06-18,101180.0,11.0,25.3,2026-06-01 21:15:31
150,2025-06-19,101193.0,13.0,29.9,2026-06-01 21:15:31
151,2025-06-20,101204.0,11.0,25.3,2026-06-01 21:15:31
152,2025-06-23,101220.0,16.0,36.8,2026-06-01 21:15:31
153,2025-06-24,101231.0,11.0,25.3,2026-06-01 21:15:31
154,2025-06-25,101249.0,18.0,41.4,2026-06-01 21:15:31
155,2025-06-26,101264.0,15.0,34.5,2026-06-01 21:15:31
156,2025-06-27,101276.0,12.0,27.6,2026-06-01 21:15:31
157,2025-06-30,101291.0,15.0,34.5,2026-06-01 21:15:31
158,2025-07-01,10302.0,11.0,25.3,2026-06-01 21:15:31
159,2025-07-02,10313.0,11.0,25.3,2026-06-01 21:15:31
160,2025-07-03,10325.0,12.0,27.6,2026-06-01 21:15:31
161,2025-07-04,10336.0,11.0,25.3,2026-06-01 21:15:31
162,2025-07-07,10351.0,15.0,34.5,2026-06-01 21:15:31
163,2025-07-08,10363.0,12.0,27.6,2026-06-01 21:15:31
164,2025-07-09,10377.0,14.0,32.2,2026-06-01 21:15:31
165,2025-07-10,10389.0,12.0,27.6,2026-06-01 21:15:31
166,2025-07-11,10401.0,12.0,27.6,2026-06-01 21:15:31
167,2025-07-14,10421.0,20.0,46.0,2026-06-01 21:15:31
168,2025-07-15,10430.0,9.0,20.7,2026-06-01 21:15:31
169,2025-07-16,10439.0,9.0,20.7,2026-06-01 21:15:31
170,2025-07-17,10449.0,10.0,23.0,2026-06-01 21:15:31
171,2025-07-18,10461.0,12.0,27.6,2026-06-01 21:15:31
172,2025-07-21,10486.0,25.0,57.5,2026-06-01 21:15:31
173,2025-07-22,10498.0,12.0,27.6,2026-06-01 21:15:31
174,2025-07-23,10510.0,12.0,27.6,2026-06-01 21:15:31
175,2025-07-24,10522.0,12.0,27.6,2026-06-01 21:15:31
176,2025-07-25,10535.0,13.0,29.9,2026-06-01 21:15:31
177,2025-07-28,10542.0,7.0,16.1,2026-06-01 21:15:31
178,2025-07-29,10554.0,12.0,27.6,2026-06-01 21:15:31
179,2025-07-30,10566.0,12.0,27.6,2026-06-01 21:15:31
180,2025-07-31,10577.0,11.0,25.3,2026-06-01 21:15:31
181,2025-08-01,10589.0,12.0,27.6,2026-06-01 21:15:31
182,2025-08-11,10634.0,45.0,103.5,2026-06-01 21:15:31
183,2025-08-12,10646.0,12.0,27.6,2026-06-01 21:15:31
184,2025-08-13,10659.0,13.0,29.9,2026-06-01 21:15:31
185,2025-08-14,10672.0,13.0,29.9,2026-06-01 21:15:31
186,2025-08-15,10684.0,12.0,27.6,2026-06-01 21:15:31
187,2025-08-18,10706.0,22.0,50.6,2026-06-01 21:15:31
188,2025-08-19,10719.0,13.0,29.9,2026-06-01 21:15:31
189,2025-08-20,10731.0,12.0,27.6,2026-06-01 21:15:31
190,2025-08-21,10743.0,12.0,27.6,2026-06-01 21:15:31
191,2025-08-22,10753.0,10.0,23.0,2026-06-01 21:15:31
192,2025-08-25,10768.0,15.0,34.5,2026-06-01 21:15:31
193,2025-08-26,10778.0,10.0,23.0,2026-06-01 21:15:31
194,2025-08-27,10790.0,12.0,27.6,2026-06-01 21:15:31
195,2025-08-28,10800.0,10.0,23.0,2026-06-01 21:15:31
196,2025-08-29,10812.0,12.0,27.6,2026-06-01 21:15:31
197,2025-09-01,10826.0,14.0,32.2,2026-06-01 21:15:31
198,2025-09-02,10836.0,10.0,23.0,2026-06-01 21:15:31
199,2025-09-03,10846.0,10.0,23.0,2026-06-01 21:15:31
200,2025-09-04,10861.0,15.0,34.5,2026-06-01 21:15:31
201,2025-09-05,10871.0,10.0,23.0,2026-06-01 21:15:31
202,2025-09-08,10882.0,11.0,25.3,2026-06-01 21:15:31
